epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,783.879,1.14912,0.80483,1.75521,0.86168,0.9294,0.97852,0.67453,1.06432,0.75846,1.99224,0.0085546,0.0085546,0.0085546
75,794.903,1.1596,0.78349,1.74024,0.93664,0.92,0.96038,0.62248,1.18658,0.70017,2.11226,0.0085348,0.0085348,0.0085348
76,805.246,1.15751,0.78656,1.73923,0.91577,0.95484,0.96576,0.59854,1.22587,0.71807,2.15442,0.008515,0.008515,0.008515
77,815.453,1.15612,0.78395,1.76338,0.86973,0.96,0.97044,0.6601,1.05876,0.78189,2.03536,0.0084952,0.0084952,0.0084952
78,825.737,1.18178,0.82386,1.76589,0.84365,0.925,0.97978,0.65613,1.16697,0.81473,2.1414,0.0084754,0.0084754,0.0084754
79,836.086,1.14585,0.80691,1.75546,0.18676,0.51471,0.25058,0.09283,1.87492,3.09043,2.94764,0.0084556,0.0084556,0.0084556
80,846.329,1.10414,0.76163,1.71356,0.91171,0.955,0.97689,0.61085,1.31073,0.75316,2.2855,0.0084358,0.0084358,0.0084358
81,856.596,1.09739,0.77449,1.71191,0.9754,0.97681,0.98785,0.66135,1.09723,0.64119,2.00852,0.008416,0.008416,0.008416
82,866.831,1.07965,0.74669,1.67103,0.94735,0.96595,0.9807,0.63466,1.22194,0.70754,2.16746,0.0083962,0.0083962,0.0083962
83,877.146,1.12217,0.77838,1.72364,0.91594,0.95395,0.97451,0.63002,1.0936,0.6806,2.01873,0.0083764,0.0083764,0.0083764
84,887.397,1.06844,0.75529,1.68292,0.92013,0.935,0.97846,0.63813,1.14819,0.72494,2.15482,0.0083566,0.0083566,0.0083566
85,897.555,1.0706,0.73057,1.68958,0.9234,0.93706,0.97223,0.63854,1.13193,0.7717,2.10132,0.0083368,0.0083368,0.0083368
86,907.899,1.09826,0.76609,1.71708,0.96832,0.965,0.98662,0.67477,1.07323,0.64166,2.04053,0.008317,0.008317,0.008317
87,918.895,1.08972,0.73319,1.68945,0.96367,0.91675,0.9652,0.63842,1.23401,0.75241,2.17048,0.0082972,0.0082972,0.0082972
88,929.147,1.11365,0.74612,1.69833,0.93999,0.95141,0.97634,0.66486,1.10633,0.68794,2.02594,0.0082774,0.0082774,0.0082774
89,939.364,1.06309,0.72565,1.6626,0.98772,0.97496,0.98834,0.66934,1.07761,0.63837,2.00093,0.0082576,0.0082576,0.0082576
90,949.511,1.06433,0.71218,1.65506,0.95417,0.985,0.98714,0.71492,0.96001,0.60387,1.83704,0.0082378,0.0082378,0.0082378
91,960.527,1.03032,0.68914,1.63417,0.97539,0.99223,0.98977,0.71021,0.98456,0.58191,1.90428,0.008218,0.008218,0.008218
92,970.822,1.01284,0.67397,1.60674,0.95701,0.96551,0.98792,0.6594,1.11444,0.65389,1.98962,0.0081982,0.0081982,0.0081982
93,981.06,1.06017,0.70897,1.64405,0.97715,0.98176,0.98844,0.70341,0.99296,0.61828,1.90285,0.0081784,0.0081784,0.0081784
94,991.435,1.00526,0.69961,1.59877,0.95073,0.9949,0.98302,0.73453,0.8631,0.60365,1.80427,0.0081586,0.0081586,0.0081586
95,1002.67,1.01126,0.69552,1.62075,0.97044,0.9726,0.98845,0.68877,1.05861,0.62076,1.99645,0.0081388,0.0081388,0.0081388
96,1012.92,1.03406,0.68266,1.63854,0.93591,0.94264,0.96757,0.65346,1.1202,0.7137,2.03058,0.008119,0.008119,0.008119
97,1023.22,1.05778,0.7303,1.65717,0.93969,0.98,0.97928,0.7051,0.96653,0.63959,1.89755,0.0080992,0.0080992,0.0080992
98,1033.46,1.03801,0.68463,1.64469,0.96153,0.98,0.98744,0.73272,0.91924,0.56508,1.8458,0.0080794,0.0080794,0.0080794
99,1043.92,1.0607,0.71835,1.67804,0.93209,0.96,0.98633,0.73252,0.84984,0.60602,1.78209,0.0080596,0.0080596,0.0080596
100,1054.24,1.0122,0.67675,1.60762,0.85561,0.92503,0.98243,0.71953,0.94633,0.67258,1.84476,0.0080398,0.0080398,0.0080398
101,1064.57,1.00566,0.69305,1.60345,0.9605,0.975,0.98814,0.70609,0.97501,0.62181,1.90537,0.00802,0.00802,0.00802
102,1074.93,0.99102,0.64554,1.59733,0.96057,0.96105,0.98612,0.70391,1.06093,0.62987,1.99323,0.0080002,0.0080002,0.0080002
103,1085.26,1.02107,0.66783,1.60113,0.98132,0.97736,0.98909,0.71543,0.97631,0.59942,1.87617,0.0079804,0.0079804,0.0079804
104,1095.44,1.01543,0.69116,1.61339,0.94457,0.98,0.97865,0.69012,0.98875,0.59646,1.89976,0.0079606,0.0079606,0.0079606
105,1105.69,1.02551,0.67633,1.60533,0.97877,0.985,0.98445,0.69858,1.06038,0.58221,1.9414,0.0079408,0.0079408,0.0079408
106,1116.01,0.97287,0.65706,1.5798,0.94526,0.99,0.98162,0.73321,0.90496,0.54572,1.76025,0.007921,0.007921,0.007921
107,1126.32,1.02665,0.67816,1.61337,0.96712,0.96125,0.98761,0.69726,1.00947,0.58044,1.90733,0.0079012,0.0079012,0.0079012
108,1136.67,1.02826,0.68954,1.60768,0.97141,0.98,0.98547,0.69376,1.05649,0.59333,1.87276,0.0078814,0.0078814,0.0078814
109,1147.01,1.06135,0.67452,1.64585,0.97975,0.95411,0.98641,0.72256,0.94233,0.56218,1.85595,0.0078616,0.0078616,0.0078616
110,1157.32,0.98332,0.66422,1.60159,0.9603,0.97,0.98503,0.71821,0.93471,0.60187,1.86908,0.0078418,0.0078418,0.0078418
111,1167.53,1.02006,0.66995,1.60778,0.89873,0.975,0.95208,0.70172,0.90909,0.56058,1.85428,0.007822,0.007822,0.007822
112,1177.75,0.9727,0.66636,1.58742,0.97231,0.99,0.98873,0.67003,1.07636,0.59936,1.90525,0.0078022,0.0078022,0.0078022
113,1187.97,0.98773,0.66886,1.59898,0.96284,0.96501,0.98524,0.74227,0.87212,0.55827,1.74585,0.0077824,0.0077824,0.0077824
114,1199.12,0.9851,0.6641,1.57598,0.96682,0.96281,0.98421,0.72619,0.90029,0.60905,1.82114,0.0077626,0.0077626,0.0077626
115,1209.64,0.98539,0.66713,1.59542,0.97335,0.99,0.98489,0.7098,0.97717,0.65949,1.87799,0.0077428,0.0077428,0.0077428
116,1219.75,0.9871,0.6567,1.59125,0.87631,0.89496,0.97181,0.70644,0.94605,0.66502,1.83929,0.007723,0.007723,0.007723
117,1229.93,1.017,0.66841,1.64687,0.9617,0.97208,0.98487,0.68323,1.00393,0.60189,1.95363,0.0077032,0.0077032,0.0077032
118,1240.19,1.00579,0.66473,1.60146,0.96757,0.97318,0.98337,0.70337,0.97448,0.57277,1.84673,0.0076834,0.0076834,0.0076834
119,1250.46,0.95263,0.63643,1.56096,0.91465,0.97,0.97236,0.7021,0.90488,2.22778,1.79121,0.0076636,0.0076636,0.0076636
120,1260.78,0.97128,0.65481,1.56514,0.96008,0.975,0.97335,0.72677,0.92063,0.59431,1.80825,0.0076438,0.0076438,0.0076438
121,1271.16,1.01063,0.67269,1.59113,0.98318,0.995,0.98754,0.71649,0.97341,0.53875,1.91185,0.007624,0.007624,0.007624
122,1281.51,0.98962,0.65538,1.60745,0.96703,0.97248,0.98743,0.71852,0.94739,0.53667,1.86053,0.0076042,0.0076042,0.0076042
123,1291.84,0.99407,0.65215,1.59433,0.95685,0.965,0.98305,0.71559,0.92659,0.58645,1.82863,0.0075844,0.0075844,0.0075844
124,1302.19,0.98934,0.65028,1.57844,0.94876,0.94984,0.98056,0.70624,0.94027,0.61765,1.8703,0.0075646,0.0075646,0.0075646
125,1312.51,0.96833,0.65634,1.57077,0.94576,0.95159,0.97302,0.70307,0.95816,0.59584,1.80826,0.0075448,0.0075448,0.0075448
126,1322.78,0.96697,0.64583,1.58304,0.95036,0.96181,0.9889,0.7563,0.8262,0.54713,1.72919,0.007525,0.007525,0.007525
127,1333.81,0.98956,0.65735,1.60613,0.96603,0.985,0.98651,0.69013,0.98916,0.5905,1.92397,0.0075052,0.0075052,0.0075052
128,1344.14,1.00355,0.65311,1.61199,0.95594,0.9651,0.98011,0.66013,1.05419,0.62876,2.0174,0.0074854,0.0074854,0.0074854
129,1354.28,0.97883,0.63221,1.57942,0.95488,0.99,0.9847,0.71943,0.92525,0.52412,1.80033,0.0074656,0.0074656,0.0074656
130,1364.44,0.97191,0.6333,1.58323,0.95802,0.96953,0.97733,0.72526,0.93935,0.59517,1.82806,0.0074458,0.0074458,0.0074458
131,1374.77,0.96732,0.6378,1.55624,0.95385,0.98611,0.98566,0.71949,0.88545,0.54451,1.74927,0.007426,0.007426,0.007426
132,1385.03,0.93463,0.63414,1.53369,0.96287,0.98994,0.9866,0.76848,0.82843,0.50533,1.70973,0.0074062,0.0074062,0.0074062
133,1395.97,0.93463,0.61055,1.54571,0.97875,0.94322,0.98238,0.75165,0.83816,0.5524,1.72146,0.0073864,0.0073864,0.0073864
134,1406.4,0.91686,0.62717,1.53905,0.97669,0.985,0.98823,0.74134,0.86686,0.52852,1.72009,0.0073666,0.0073666,0.0073666
135,1416.74,0.9283,0.61402,1.53365,0.98383,0.975,0.98872,0.73584,0.91291,0.54204,1.83461,0.0073468,0.0073468,0.0073468
136,1427.04,0.93502,0.6282,1.55681,0.98781,0.985,0.98902,0.74112,0.91964,0.56137,1.79569,0.007327,0.007327,0.007327
137,1437.43,0.9221,0.59859,1.53676,0.97527,0.98773,0.98479,0.75664,0.82578,0.48355,1.71407,0.0073072,0.0073072,0.0073072
138,1447.68,0.93962,0.6165,1.57139,0.98862,0.945,0.98325,0.71132,0.91945,0.54315,1.83312,0.0072874,0.0072874,0.0072874
139,1458.05,0.95823,0.62747,1.56931,0.9651,0.98,0.9858,0.74173,0.90988,0.5271,1.81395,0.0072676,0.0072676,0.0072676
140,1468.34,0.95154,0.62228,1.54831,0.95462,0.96417,0.98343,0.67931,1.01796,0.58046,2.01918,0.0072478,0.0072478,0.0072478
141,1478.52,0.93138,0.63522,1.54597,0.91747,0.985,0.97521,0.70337,0.93209,0.59803,1.83217,0.007228,0.007228,0.007228
142,1488.65,0.93274,0.61095,1.521,0.94743,0.9422,0.97098,0.69909,0.95918,0.61855,1.85194,0.0072082,0.0072082,0.0072082
143,1498.77,0.8861,0.60876,1.51261,0.9634,0.98945,0.98852,0.76166,0.83579,0.51901,1.70606,0.0071884,0.0071884,0.0071884
144,1508.94,0.9057,0.6064,1.51116,0.95693,0.95698,0.98231,0.73553,0.86971,0.58904,1.73837,0.0071686,0.0071686,0.0071686
145,1519.1,0.93088,0.61689,1.54807,0.98675,0.99084,0.98676,0.72748,0.91288,0.50473,1.79582,0.0071488,0.0071488,0.0071488
146,1529.24,0.93626,0.60807,1.55105,0.98267,0.97,0.98959,0.74675,0.85027,0.53126,1.75803,0.007129,0.007129,0.007129
147,1539.42,0.95134,0.60003,1.56143,0.97207,0.97974,0.9837,0.76098,0.83477,0.50105,1.72416,0.0071092,0.0071092,0.0071092
148,1549.51,0.90342,0.62399,1.52689,0.97964,0.98,0.9864,0.72833,0.88342,0.52909,1.75645,0.0070894,0.0070894,0.0070894
149,1559.65,0.88311,0.58288,1.50346,0.94181,0.98384,0.98403,0.74018,0.8659,0.53405,1.73974,0.0070696,0.0070696,0.0070696
150,1569.8,0.89883,0.59603,1.50137,0.94865,0.96805,0.98141,0.75205,0.81773,0.52564,1.70874,0.0070498,0.0070498,0.0070498
151,1579.9,0.90638,0.60153,1.51707,0.97574,0.98,0.98428,0.74408,0.8287,0.4915,1.69616,0.00703,0.00703,0.00703
152,1590.05,0.90402,0.61254,1.528,0.94125,0.96581,0.98732,0.77184,0.78917,0.50536,1.66671,0.0070102,0.0070102,0.0070102
153,1600.65,0.8999,0.58978,1.488,0.97278,0.97485,0.98496,0.76404,0.79917,0.49261,1.65323,0.0069904,0.0069904,0.0069904
154,1610.79,0.92987,0.62177,1.53673,0.95744,0.98543,0.98958,0.76075,0.79175,0.55149,1.65448,0.0069706,0.0069706,0.0069706
155,1621.14,0.8973,0.60259,1.50858,0.98317,0.99282,0.99084,0.75434,0.84583,0.49588,1.69656,0.0069508,0.0069508,0.0069508
156,1631.28,0.88953,0.58099,1.49108,0.97611,0.975,0.98551,0.74068,0.85542,0.50548,1.67976,0.006931,0.006931,0.006931
157,1641.48,0.92589,0.61064,1.5287,0.97987,0.99,0.99064,0.75109,0.84685,0.49293,1.72031,0.0069112,0.0069112,0.0069112
