epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3507.13,1.92893,3.03795,1.80247,0.16329,0.10734,0.05873,0.0253,1.92158,2.98349,1.90114,0.0082378,0.0082378,0.0082378
91,3545.73,1.92406,3.0127,1.83,0.16208,0.0904,0.05985,0.02535,1.90099,2.99315,1.89715,0.008218,0.008218,0.008218
92,3584.33,1.93335,2.9912,1.81836,0.16531,0.09511,0.06209,0.02661,1.90347,2.96136,1.89729,0.0081982,0.0081982,0.0081982
93,3622.99,1.92498,3.02177,1.80872,0.16513,0.10734,0.06315,0.02684,1.89004,2.95828,1.89023,0.0081784,0.0081784,0.0081784
94,3661.73,1.95167,2.99696,1.81616,0.14775,0.09605,0.06401,0.02607,1.89359,2.96192,1.8783,0.0081586,0.0081586,0.0081586
95,3700.33,1.91013,2.9704,1.78759,0.16252,0.08475,0.0611,0.02563,1.90221,2.97851,1.8831,0.0081388,0.0081388,0.0081388
96,3739.09,1.93325,3.02951,1.81117,0.13322,0.07627,0.06054,0.02578,1.90166,2.97638,1.89104,0.008119,0.008119,0.008119
97,3777.76,1.95729,3.07887,1.82438,0.15373,0.0791,0.06169,0.02567,1.88883,2.98086,1.88348,0.0080992,0.0080992,0.0080992
98,3816.35,1.94159,2.98645,1.81353,0.14457,0.0791,0.06124,0.02555,1.88825,2.98938,1.87525,0.0080794,0.0080794,0.0080794
99,3854.97,1.92136,2.9692,1.80647,0.15558,0.08757,0.05819,0.02514,1.89177,2.99983,1.87804,0.0080596,0.0080596,0.0080596
100,3893.6,1.90788,2.98313,1.78708,0.15555,0.08192,0.05799,0.02497,1.89307,2.99549,1.87873,0.0080398,0.0080398,0.0080398
101,3932.38,1.90262,2.94846,1.80663,0.15051,0.08192,0.05914,0.02568,1.88694,3.01,1.87882,0.00802,0.00802,0.00802
102,3971.17,1.92873,3.01405,1.81428,0.14034,0.08192,0.05969,0.02597,1.88387,3.00177,1.87599,0.0080002,0.0080002,0.0080002
103,4009.8,1.95333,2.97953,1.80631,0.15555,0.08192,0.06115,0.02652,1.88551,2.99902,1.87376,0.0079804,0.0079804,0.0079804
104,4048.5,1.93672,2.96393,1.80263,0.15863,0.08475,0.06399,0.02783,1.88215,3.00499,1.86889,0.0079606,0.0079606,0.0079606
105,4087.19,1.90435,2.93419,1.80462,0.15,0.0904,0.06398,0.02771,1.88183,2.97967,1.86555,0.0079408,0.0079408,0.0079408
106,4125.87,1.95067,3.02967,1.79808,0.15525,0.08757,0.06463,0.02795,1.88123,2.97954,1.86515,0.007921,0.007921,0.007921
107,4164.55,1.93397,2.98426,1.81019,0.16166,0.09322,0.06531,0.02842,1.88469,2.97473,1.86853,0.0079012,0.0079012,0.0079012
108,4203.78,1.91777,3.0006,1.80045,0.1559,0.09322,0.06435,0.02795,1.88736,2.97977,1.87047,0.0078814,0.0078814,0.0078814
109,4242.48,1.90969,2.95447,1.79122,0.15166,0.08475,0.06336,0.02801,1.88881,2.98915,1.86884,0.0078616,0.0078616,0.0078616
110,4281.06,1.91229,2.96983,1.81192,0.15371,0.08757,0.06452,0.02818,1.88883,2.99161,1.86681,0.0078418,0.0078418,0.0078418
111,4319.83,1.9096,2.96492,1.80586,0.14965,0.08353,0.06536,0.02899,1.88641,2.98464,1.8665,0.007822,0.007822,0.007822
112,4358.84,1.92983,3.00845,1.81738,0.15366,0.08925,0.06678,0.02913,1.88508,2.97506,1.86743,0.0078022,0.0078022,0.0078022
113,4397.84,1.91035,2.96338,1.80549,0.1698,0.09605,0.06699,0.02952,1.88327,2.98192,1.86616,0.0077824,0.0077824,0.0077824
114,4437.04,1.90509,2.94243,1.80735,0.17498,0.09322,0.06747,0.02956,1.88114,2.98341,1.86463,0.0077626,0.0077626,0.0077626
115,4476.15,1.91218,2.94622,1.80367,0.15952,0.10169,0.06825,0.02953,1.881,2.98193,1.86596,0.0077428,0.0077428,0.0077428
116,4515.35,1.90974,2.96947,1.78985,0.15862,0.0904,0.06907,0.02939,1.88169,2.98004,1.86714,0.007723,0.007723,0.007723
117,4554.03,1.90021,2.96393,1.78782,0.1561,0.08757,0.06896,0.02947,1.8769,2.9824,1.86462,0.0077032,0.0077032,0.0077032
118,4593.17,1.92047,2.97747,1.79743,0.15293,0.09078,0.06967,0.03017,1.87203,2.97733,1.85994,0.0076834,0.0076834,0.0076834
119,4632.41,1.90845,2.91626,1.78935,0.15951,0.0949,0.06897,0.02974,1.87419,2.97508,1.85969,0.0076636,0.0076636,0.0076636
120,4671.15,1.90301,2.89084,1.79418,0.15489,0.0904,0.06895,0.03014,1.87259,2.97635,1.85859,0.0076438,0.0076438,0.0076438
121,4709.84,1.90655,2.95173,1.79609,0.1645,0.10169,0.07156,0.03089,1.87414,2.9695,1.85722,0.007624,0.007624,0.007624
122,4748.98,1.90885,2.94929,1.78184,0.15598,0.09322,0.07075,0.03031,1.87807,2.98218,1.86098,0.0076042,0.0076042,0.0076042
123,4787.63,1.91443,2.94391,1.79142,0.16168,0.09605,0.06973,0.03,1.87682,2.97497,1.85977,0.0075844,0.0075844,0.0075844
124,4826.41,1.94544,2.96669,1.8137,0.16699,0.09887,0.06942,0.02978,1.87712,2.97944,1.86037,0.0075646,0.0075646,0.0075646
125,4865.01,1.91363,2.93088,1.80004,0.16538,0.09605,0.07043,0.03046,1.87705,2.98126,1.85979,0.0075448,0.0075448,0.0075448
126,4903.79,1.91534,2.91809,1.79948,0.17061,0.09605,0.07068,0.03046,1.87444,2.98188,1.85814,0.007525,0.007525,0.007525
127,4942.4,1.91503,2.89478,1.80858,0.1653,0.10014,0.07085,0.03083,1.87505,2.97712,1.85769,0.0075052,0.0075052,0.0075052
128,4981.09,1.87433,2.9224,1.7684,0.16577,0.09887,0.07059,0.03035,1.87657,2.97659,1.85877,0.0074854,0.0074854,0.0074854
129,5019.9,1.93516,2.9856,1.81294,0.16086,0.09322,0.07084,0.03021,1.87599,2.97574,1.8589,0.0074656,0.0074656,0.0074656
130,5058.49,1.88563,2.8964,1.77343,0.16005,0.09605,0.07049,0.02988,1.87642,2.97869,1.85947,0.0074458,0.0074458,0.0074458
131,5097.31,1.90017,2.90836,1.77732,0.16228,0.09887,0.07083,0.02966,1.87705,2.97962,1.8593,0.007426,0.007426,0.007426
132,5136.08,1.91106,2.91359,1.78963,0.1624,0.10169,0.07034,0.02953,1.87598,2.97525,1.8588,0.0074062,0.0074062,0.0074062
133,5174.73,1.90102,2.89659,1.78668,0.16427,0.10273,0.07009,0.02937,1.87563,2.98118,1.85875,0.0073864,0.0073864,0.0073864
134,5213.44,1.89893,2.94506,1.77249,0.17136,0.10632,0.07145,0.0299,1.87211,2.9782,1.85626,0.0073666,0.0073666,0.0073666
135,5252.07,1.88643,2.90273,1.7714,0.16715,0.10452,0.07122,0.02989,1.87108,2.97912,1.85574,0.0073468,0.0073468,0.0073468
136,5290.69,1.89022,2.91164,1.77604,0.16694,0.10452,0.06977,0.03009,1.87028,2.9806,1.85444,0.007327,0.007327,0.007327
137,5329.3,1.90997,2.90447,1.7962,0.17041,0.10452,0.07027,0.03044,1.87173,2.98534,1.85663,0.0073072,0.0073072,0.0073072
138,5368.22,1.90718,2.92495,1.78965,0.17339,0.10452,0.07091,0.03052,1.87149,2.98472,1.85457,0.0072874,0.0072874,0.0072874
139,5406.82,1.8868,2.93005,1.78674,0.17286,0.10452,0.07113,0.03045,1.87239,2.98482,1.85591,0.0072676,0.0072676,0.0072676
140,5445.48,1.87671,2.90143,1.7553,0.18007,0.10734,0.07079,0.03068,1.87398,2.98668,1.85674,0.0072478,0.0072478,0.0072478
141,5484.1,1.89033,2.90484,1.78386,0.1767,0.10452,0.07124,0.03058,1.87262,2.98754,1.85644,0.007228,0.007228,0.007228
142,5522.78,1.8939,2.8892,1.7776,0.17163,0.10184,0.07153,0.03074,1.87153,2.98663,1.85632,0.0072082,0.0072082,0.0072082
143,5561.48,1.89584,2.90932,1.77877,0.17837,0.10452,0.06998,0.03031,1.87125,2.9924,1.85694,0.0071884,0.0071884,0.0071884
144,5600.19,1.90695,2.91769,1.80144,0.17541,0.10452,0.0698,0.03021,1.8718,2.99442,1.85696,0.0071686,0.0071686,0.0071686
145,5639,1.89708,2.90342,1.7792,0.17813,0.10452,0.06982,0.03037,1.87148,2.99401,1.85618,0.0071488,0.0071488,0.0071488
146,5677.66,1.88232,2.88542,1.7731,0.18544,0.10452,0.07011,0.03042,1.87118,2.99836,1.85626,0.007129,0.007129,0.007129
147,5716.32,1.9035,2.87622,1.78285,0.18038,0.10452,0.07063,0.03091,1.87187,2.99622,1.85595,0.0071092,0.0071092,0.0071092
148,5754.99,1.8971,2.8904,1.79236,0.18148,0.10452,0.07052,0.03106,1.87029,2.99533,1.85505,0.0070894,0.0070894,0.0070894
149,5794.08,1.92539,2.91251,1.79196,0.18889,0.10452,0.07075,0.03029,1.87278,3.00146,1.85721,0.0070696,0.0070696,0.0070696
150,5832.72,1.9101,2.9023,1.79045,0.19037,0.10428,0.07129,0.03061,1.87257,3.00096,1.85703,0.0070498,0.0070498,0.0070498
151,5871.43,1.84964,2.84837,1.74416,0.18611,0.10169,0.07036,0.0305,1.87183,3.00085,1.85716,0.00703,0.00703,0.00703
152,5910.16,1.90263,2.89089,1.79405,0.18797,0.10135,0.07088,0.03057,1.87029,3.0045,1.85721,0.0070102,0.0070102,0.0070102
153,5948.8,1.88988,2.88251,1.79175,0.18896,0.10135,0.07056,0.03043,1.86925,3.00882,1.85676,0.0069904,0.0069904,0.0069904
